,player_name,team_abbreviation,age,player_height_cm,player_weight_lbs,college,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_categorical,season_period
11700,Usman Garuba,HOU,20.0,203.2,229.0,,Spain,2021.0,1.0,23.0,24,2.0,3.5,0.7,7.0,0.083,0.263,0.091,0.51,0.084,2021-22,2021-22,2021
11701,Vlatko Cancar,DEN,25.0,203.2,236.0,,Slovenia,2017.0,2.0,49.0,15,4.1,2.1,1.1,0.8,0.0409999999999999,0.133,0.131,0.657,0.139,2021-22,2021-22,2021
11702,Vit Krejci,OKC,22.0,203.2,195.0,,Czech Republic,2020.0,2.0,37.0,30,6.2,3.4,1.9,-12.8,0.024,0.121,0.125,0.529,0.1169999999999999,2021-22,2021-22,2021
11703,Victor Oladipo,MIA,30.0,193.04,213.0,Indiana,USA,2013.0,1.0,2.0,8,12.4,2.9,3.5,-1.4,0.017,0.11,0.247,0.608,0.2769999999999999,2021-22,2021-22,2021
11704,Vernon Carey Jr.,WAS,21.0,205.74,270.0,Duke,USA,2020.0,2.0,32.0,7,2.9,1.7,0.0,-47.6,0.145,0.093,0.179,0.534,0.0,2021-22,2021-22,2021
11705,Wayne Ellington,LAL,34.0,193.04,207.0,North Carolina,USA,2009.0,1.0,28.0,43,6.7,1.8,0.7,-3.8,0.012,0.078,0.135,0.593,0.055,2021-22,2021-22,2021
11706,Udonis Haslem,MIA,42.0,203.2,235.0,Florida,USA,,,,13,2.5,1.9,0.3,-9.5,0.043,0.239,0.183,0.495,0.077,2021-22,2021-22,2021
11707,Tyler Johnson,SAS,30.0,190.5,186.0,Fresno State,USA,,,,6,2.8,2.0,1.2,-1.9,0.0289999999999999,0.1,0.1,0.425,0.1,2021-22,2021-22,2021
11708,Tyus Jones,MEM,26.0,182.88,196.0,Duke,USA,2015.0,1.0,24.0,73,8.7,2.4,4.4,7.6,0.01,0.0969999999999999,0.1639999999999999,0.544,0.285,2021-22,2021-22,2021
11709,Tyrone Wallace,NOP,28.0,195.58,198.0,California,USA,2016.0,2.0,60.0,6,2.8,1.3,0.2,-9.9,0.0,0.133,0.13,0.3829999999999999,0.017,2021-22,2021-22,2021
11710,Tyrese Maxey,PHI,21.0,187.96,200.0,Kentucky,USA,2020.0,1.0,21.0,75,17.5,3.2,4.3,3.6,0.01,0.08,0.1989999999999999,0.594,0.191,2021-22,2021-22,2021
11711,Tyrese Haliburton,IND,22.0,195.58,185.0,Iowa State,USA,2020.0,1.0,12.0,77,15.3,4.0,8.2,-6.0,0.022,0.093,0.184,0.595,0.335,2021-22,2021-22,2021
11712,Tyrell Terry,MEM,21.0,187.96,160.0,Stanford,USA,2020.0,2.0,31.0,2,1.0,0.0,0.0,-6.9,0.0,0.0,0.111,1.0,0.0,2021-22,2021-22,2021
